,year,imdb,title,clean_test,binary,genre,age_rating,budget_2013$,star_rating,director,cast,writer
317,2010,tt1194417,Casino Jack,notalk,0,Biography,R,13352898,6.2,George Hickenlooper,0.59999999999999998,0.0
318,2010,tt1020558,Centurion,notalk,0,Action,R,16023478,6.4,Neil Marshall,0.80000000000000004,2.0
319,2010,tt1438254,Charlie St. Cloud,notalk,0,Drama,PG13,47002201,6.4,Burr Steers,0.80000000000000004,0.0
320,2010,tt0800320,Clash of the Titans,dubious,0,Action,PG13,133528980,5.8,Louis Leterrier,0.80000000000000004,0.25
321,2010,tt1244754,Conviction,ok,1,Biography,R,13352898,7.2,Tony Goldwyn,1.8,1.0
322,2010,tt1385867,Cop Out,notalk,0,Action,R,39524578,5.7,Kevin Smith,1.0,0.0
323,2010,tt1555064,Country Strong,ok,1,Drama,PG13,16023478,6.3,Shana Feste,2.2000000000000002,1.0
324,2010,tt1336617,Cyrus,notalk,0,Comedy,R,7477623,6.3,Jay Duplass,2.0,0.0
325,2010,tt1279935,Date Night,ok,1,Comedy,PG13,58752751,6.3,Shawn Levy,2.0,1.0
326,2010,tt0989757,Dear John,nowomen,0,Drama,PG13,26705796,6.3,Lasse Hallström,1.0,0.5
327,2010,tt1323594,Despicable Me,ok,1,Animation,PG,73707997,7.7,Pierre Coffin,3.6000000000000001,1.6666666666666667
328,2010,tt1314655,Devil,ok,1,Horror,PG13,10682318,6.3,John Erick Dowdle,1.2,1.5
329,2010,tt1196141,Diary of a Wimpy Kid,ok,1,Comedy,PG,16023478,6.2,Thor Freudenthal,1.8,1.0
330,2010,tt0427152,Dinner for Schmucks,notalk,0,Comedy,PG13,73707997,5.9,Jay Roach,1.2,0.0
331,2010,tt1270761,Don&#39;t Be Afraid of the Dark,ok,1,Fantasy,R,26705796,5.6,Troy Nixey,2.0,1.3333333333333333
332,2010,tt1231583,Due Date,notalk,0,Comedy,R,69435070,6.6,Todd Phillips,0.40000000000000002,0.0
333,2010,tt1013860,Dylan Dog: Dead of Night,nowomen,0,Comedy,PG13,21364637,5.1,Kevin Munroe,0.0,0.0
334,2010,tt1282140,Easy A,ok,1,Comedy,PG13,8545855,7.1,Will Gluck,2.3999999999999999,1.0
335,2010,tt0879870,"Eat, Pray, Love",ok,1,Drama,PG13,64093910,5.6,Ryan Murphy,3.2000000000000002,1.3333333333333333
336,2010,tt1226273,Edge of Darkness,notalk,0,Crime,R,64093910,6.6,Martin Campbell,0.80000000000000004,0.0
337,2010,tt1531663,Everything Must Go,notalk,0,Comedy,R,5341159,6.4,Dan Rush,0.59999999999999998,0
338,2010,tt0977855,Fair Game,ok,1,Biography,PG13,53411592,6.8,Doug Liman,1.6000000000000001,1.0
339,2010,tt1433108,Faster,nowomen,0,Action,R,12818782,6.5,George Tillman Jr.,0.20000000000000001,0
340,2010,tt1405500,For Colored Girls,ok,1,Drama,R,22432869,5.9,Tyler Perry,1.3999999999999999,1.0
341,2010,tt1323045,Frozen,notalk,0,Drama,R,160234776,6.2,Adam Green,0.59999999999999998,0.0
342,2010,tt1226229,Get Him To The Greek,notalk,0,Comedy,R,42729274,6.4,Nicholas Stoller,0.59999999999999998,0.0
343,2010,tt1322312,Going the Distance,ok,1,Comedy,R,34183419,6.4,Nanette Burstein,3.2000000000000002,1.0
344,2010,tt0947810,Green Zone,nowomen,0,Action,R,106823184,6.9,Paul Greengrass,0.40000000000000002,0.0
345,2010,tt1375670,Grown Ups,ok,1,Comedy,PG13,80117388,6.0,Dennis Dugan,1.8,0
346,2010,tt1376195,Gunless,men,0,Action,NR,10575495,6.5,William Phillips,1.0,0
347,2010,tt0926084,Harry Potter and the Deathly Hallows: Part 1,ok,1,Adventure,PG13,133528980,7.7,David Yates,2.6000000000000001,1.5
348,2010,tt1231587,Hot Tub Time Machine,notalk,0,Comedy,R,38456346,6.5,Steve Pink,1.0,0.5
349,2010,tt0892769,How to Train Your Dragon,ok,1,Animation,PG,176258254,8.2,Dean DeBlois,1.6000000000000001,0
350,2010,tt1226236,I Am Love,ok,1,Drama,R,10682318,7.0,Luca Guadagnino,1.0,1.3999999999999999
351,2010,tt1375666,Inception,dubious,0,Action,PG13,170917095,8.8,Christopher Nolan,1.0,0
352,2010,tt1591095,Insidious,ok,1,Drama,PG13,1602348,6.8,James Wan,1.6000000000000001,1.0
353,2010,tt1228705,Iron Man 2,ok,1,Action,PG13,181599413,7.1,Jon Favreau,3.2000000000000002,0
354,2010,tt0804497,It&#39;s Kind of a Funny Story,notalk,0,Comedy,PG13,8545855,7.2,Anna Boden,0.0,0.0
355,2010,tt1250777,Kick-Ass,notalk,0,Action,R,29910492,7.7,Matthew Vaughn,0.20000000000000001,1.25
356,2010,tt1013743,Knight and Day,men,0,Action,PG13,124983125,6.3,James Mangold,3.3999999999999999,0.0
357,2010,tt1038686,Legion,ok,1,Action,R,27774028,5.2,Scott Stewart,1.6000000000000001,1.0
358,2010,tt1228987,Let Me In,notalk,0,Drama,R,21364637,7.2,Matt Reeves,1.0,0.0
359,2010,tt0892318,Letters to Juliet,dubious,0,Comedy,PG,32046955,6.5,Gary Winick,0.20000000000000001,0
360,2010,tt0758752,Love and Other Drugs,men,0,Comedy,R,32046955,6.7,Edward Zwick,2.2000000000000002,0.25
361,2010,tt0985694,Machete,ok,1,Action,R,13352898,6.7,Ethan Maniquis,2.7999999999999998,2.5
362,2010,tt1371155,Made In Dagenham,ok,1,Biography,R,8545855,7.2,Nigel Cole,1.0,1.0
363,2010,tt1518812,Meek&#39;s Cutoff,men,0,Drama,PG,2136464,6.5,Kelly Reichardt,1.0,1.0
364,2010,tt1001526,Megamind,nowomen,0,Animation,PG,138870139,7.3,Tom McGrath,1.2,0.0
365,2010,tt1470827,Monsters,nowomen,0,Drama,R,534116,6.4,Gareth Edwards,0.0,0.0
366,2010,tt1126618,Morning Glory,ok,1,Comedy,PG13,42729274,6.5,Roger Michell,1.6000000000000001,1.0
367,2010,tt1415283,Nanny McPhee and the Big Bang,ok,1,Comedy,PG,37388114,6.0,Susanna White,1.2,1.0
368,2010,tt1334260,Never Let Me Go,ok,1,Drama,R,16023478,7.2,Mark Romanek,1.2,1.5
369,2010,tt1536044,Paranormal Activity 2,ok,1,Horror,R,3204696,5.7,Tod Williams,1.0,1.6000000000000001
370,2010,tt0814255,Percy Jackson &amp; the Olympians: The Lightning Thief,dubious,0,Adventure,PG,101482025,5.9,Chris Columbus,1.8,0.5
371,2010,tt0878835,Please Give,ok,1,Comedy,R,3204696,6.6,Nicole Holofcener,2.0,4.0
372,2010,tt1424381,Predators,nowomen,0,Action,R,42729274,6.4,Nimród Antal,1.0,0.0
373,2010,tt0473075,Prince of Persia: The Sands of Time,nowomen,0,Action,PG13,213646368,6.6,Mike Newell,1.2,0.0
374,2010,tt0935075,Rabbit Hole,ok,1,Drama,PG13,5341159,7.0,John Cameron Mitchell,3.0,2.0
375,2010,tt0493949,Ramona and Beezus,ok,1,Adventure,G,16023478,6.7,Elizabeth Allen Rosenbaum,2.2000000000000002,1.0
376,2010,tt1245526,Red,men,0,Action,PG13,64093910,7.1,Robert Schwentke,1.3999999999999999,1.5
377,2010,tt1403981,Remember Me,ok,1,Drama,PG13,17091709,7.2,Allen Coulter,1.2,1.0
378,2010,tt1053424,Repo Men,ok,1,Action,R,34183419,6.3,Miguel Sapochnik,2.2000000000000002,1.0
379,2010,tt0955308,Robin Hood,dubious,0,Action,PG13,224328687,6.7,Ridley Scott,1.6000000000000001,0.0
380,2010,tt0944835,Salt,ok,1,Action,PG13,138870139,6.4,Phillip Noyce,1.6000000000000001,1.0
381,2010,tt0446029,Scott Pilgrim vs. the World,ok,1,Action,PG13,90799707,7.5,Edgar Wright,1.8,1.3333333333333333
